spatial_reference_id,reference_type,topology_status,reciprocal_link_count,missing_direction_count,finding_count,detail
NG-SCELL-000141,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000142,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000143,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000144,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000145,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000146,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000147,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000148,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000149,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000150,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000151,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000152,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000153,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000154,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000155,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000156,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000157,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000158,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000159,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000160,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000161,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000162,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000163,REFERENCE_CELL,PASS,6,2,0,
NG-SCELL-000164,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000165,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000166,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000167,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000168,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000169,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000170,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000171,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000172,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000173,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000174,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000175,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000176,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000177,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000178,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000179,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000180,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000181,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000182,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000183,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000184,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000185,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000186,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000187,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000188,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000189,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000190,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000191,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000192,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000193,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000194,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000195,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000196,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000197,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000198,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000199,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000200,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000201,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000202,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000203,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000204,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000205,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000206,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000207,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000208,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000209,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000210,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000211,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000212,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000213,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000214,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000215,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000216,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000217,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000218,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000219,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000220,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000221,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000222,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000223,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000224,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000225,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000226,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000227,REFERENCE_CELL,PASS,6,2,0,
NG-SCELL-000228,REFERENCE_CELL,PASS,1,7,0,
NG-SCELL-000229,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000230,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000231,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000232,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000233,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000234,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000235,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000236,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000237,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000238,REFERENCE_CELL,PASS,8,0,0,
